DATAFLOW,MEASURE: Measure,SEX: Sex,AGE: Age,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,62: 62,8: Australian Capital Territory,A: Annual,2019,2119,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,62: 62,8: Australian Capital Territory,A: Annual,2020,2195,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,62: 62,8: Australian Capital Territory,A: Annual,2021,2223,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,78: 78,2: Victoria,A: Annual,2017,17219,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,78: 78,2: Victoria,A: Annual,2018,17724,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,78: 78,2: Victoria,A: Annual,2019,17758,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,78: 78,2: Victoria,A: Annual,2020,18931,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,78: 78,2: Victoria,A: Annual,2021,18913,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,1: Males,39: 39,5: Western Australia,A: Annual,2017,17466,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,1: Males,39: 39,5: Western Australia,A: Annual,2018,17726,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,1: Males,39: 39,5: Western Australia,A: Annual,2019,18323,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,1: Males,39: 39,5: Western Australia,A: Annual,2020,19519,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,1: Males,39: 39,5: Western Australia,A: Annual,2021,20296,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,28: 28,7: Northern Territory,A: Annual,2017,2425,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,28: 28,7: Northern Territory,A: Annual,2018,2443,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,28: 28,7: Northern Territory,A: Annual,2019,2500,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,28: 28,7: Northern Territory,A: Annual,2020,2430,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,28: 28,7: Northern Territory,A: Annual,2021,2411,PSNS: Persons,,
